iter	Passed	Remaining
825	2232	470
826	2234	467
827	2236	464
828	2239	461
829	2241	459
830	2244	456
831	2246	453
832	2249	450
833	2251	448
834	2254	445
835	2256	442
836	2259	439
837	2261	437
838	2264	434
839	2266	431
840	2269	429
841	2271	426
842	2274	423
843	2276	420
844	2279	418
845	2281	415
846	2284	412
847	2286	409
848	2289	407
849	2291	404
850	2294	401
851	2296	398
852	2299	396
853	2302	393
854	2304	390
855	2307	388
856	2310	385
857	2312	382
858	2315	380
859	2317	377
860	2319	374
861	2322	371
862	2325	369
863	2327	366
864	2329	363
865	2332	360
866	2334	358
867	2337	355
868	2339	352
869	2342	349
870	2344	347
871	2347	344
872	2350	341
873	2352	339
874	2355	336
875	2357	333
876	2359	330
877	2362	328
878	2365	325
879	2367	322
880	2370	320
881	2372	317
882	2375	314
883	2377	311
884	2380	309
885	2382	306
886	2384	303
887	2387	301
888	2389	298
889	2392	295
890	2394	292
891	2397	290
892	2399	287
893	2402	284
894	2404	282
895	2406	279
896	2409	276
897	2412	273
898	2414	271
899	2417	268
900	2419	265
901	2422	263
902	2425	260
903	2427	257
904	2430	255
905	2432	252
906	2435	249
907	2437	246
908	2440	244
909	2442	241
910	2445	238
911	2447	236
912	2450	233
913	2452	230
914	2454	228
915	2457	225
916	2460	222
917	2462	219
918	2465	217
919	2467	214
920	2470	211
921	2473	209
922	2475	206
923	2477	203
924	2480	201
925	2483	198
926	2485	195
927	2487	193
928	2490	190
929	2493	187
930	2495	184
931	2498	182
932	2501	179
933	2503	176
934	2506	174
935	2508	171
936	2510	168
937	2513	166
938	2515	163
939	2518	160
940	2521	158
941	2523	155
942	2526	152
943	2528	150
944	2531	147
945	2533	144
946	2535	141
947	2538	139
948	2540	136
949	2543	133
950	2545	131
951	2548	128
952	2550	125
953	2553	123
954	2555	120
955	2558	117
956	2560	115
957	2563	112
958	2565	109
959	2568	107
960	2571	104
961	2573	101
962	2575	98
963	2578	96
964	2581	93
965	2583	90
966	2585	88
967	2588	85
968	2590	82
969	2593	80
970	2596	77
971	2598	74
972	2600	72
973	2603	69
974	2606	66
975	2608	64
976	2611	61
977	2613	58
978	2616	56
979	2618	53
980	2621	50
981	2623	48
982	2626	45
983	2628	42
984	2631	40
985	2633	37
986	2636	34
987	2638	32
988	2641	29
989	2643	26
990	2645	24
991	2648	21
992	2650	18
993	2653	16
994	2655	13
995	2658	10
996	2661	8
997	2663	5
998	2666	2
999	2669	0
